book	witness	ref	cal_text	syriac_text
John	Curetonian	00:01	)wnglywn, dywxnn	
John	Curetonian	01:01	br$yt )ytwhy hw) mlt), whw mlt) )ytwhy hw) lwt )lh), w)lh) )ytwhy hw) hw mlt),	ܒܪܫܝܬ ܐܝܬܘܗܝ ܗܘܐ ܡܠܬܐ܂ ܘܗܘ ܡܠܬܐ ܐܝܬܘܗܝ ܗܘܐ ܠܘܬ ܐܠܗܐ܂ ܘܐܠܗܐ ܐܝܬܘܗܝ ܗܘܐ ܗܘ ܡܠܬܐ܂
John	Curetonian	01:02	hn) )ytwhy hw) br$yt lwt )lh),	
John	Curetonian	01:03	klmdm bh hw), wbl(dwhy )p l) xd) hwt, hw dyn mdm dhw),	
John	Curetonian	01:04	bh xy:) )nwn, wx:y) )ytyhwn nwhr) db:ny )n$),	ܟܕ ܝܕܥ ܕܝܢ ܝܫܘܥ ܕܫܡܥܘ ܦܪ̈ܝܫܐ ܕܣܓܝܘ ܬܠܡ̈ܝܕܘܗܝ܂ ܘܡܥܡܕ ܗܘܐ ܣܓܝ ܡܢ ܝܘܚܢܢ܂
John	Curetonian	01:05	whw nwhr) bx$wk) mnhr hw), wx$wk) l) )drkh,	ܒܬܪ ܗܠܝܢ ܗܘܐ ܗܘܐ ܥܕܥܕܐ ܕܝ̈ܗܘܕܝܐ܂ ܘܣܠܩ ܗܘܐ ܝܫܘܥ ܠܐܘܪܫܠܡ܂
John	Curetonian	01:06	hw) brn$) d)$tdr mn )lh), $mh hw) ywxnn,	ܒܬܪ ܗܠܝܢ܂ ܐܙܠ ܝܫܘܥ ܠܥܒܪܐ ܕܝܡܬܐ ܕܓܠܝܠܐ ܕܛܒܪܝܘܣ܂
John	Curetonian	01:07	hn) )t) lshdwt) dnshd (l nwhr), wdkwl )n$ nhymn b)ydh,	ܒܬܪ ܗܠܝܢ ܡܗܠܟ ܗܘܐ ܝܫܘܥ ܒܓܠܝܠܐ܂ ܠܐ ܓܝܪ ܐܝܬ ܗܘܐ ܠܗ ܫܘܠܛܢܐ ܠܡܗܠܟܘ ܒܝܗܘܕ܂ ܡܛܠ ܕܝܗ̈ܘܕܝܐ ܒܥܝܢ ܗܘܘ ܠܡܩܛܠܗ܀
John	Curetonian	01:08	l) hw) hw nwhr), )l) shd) hw dnwhr),	
John	Curetonian	01:09	)ytwhy dyn nwhr) d$rr), dmnhr lkl br )n$ d)t) l(lm),	
John	Curetonian	01:10	b(lm) hw), whw (lm) bh hw), w(lm) l) yd(h,	
John	Curetonian	01:11	ldylh )t) wdylh l) qblwhy,	
John	Curetonian	01:12	)ylyn dyn dqblwhy yhb lhwn $wlTn) db:ny) d)lh) nhwwn, )ylyn db$mh mhymnyn,	
John	Curetonian	01:13	)ylyn dl) bdm) wl) mn cbyn) dpgr), wl) mn cbyn) dbr )n$), )l) mn )lh) )tyldw,	
John	Curetonian	01:14	wmlt) pgr) hw) w)gnt bn, wxzyn $wbxh )yk $wbx) dyxyd) dmn )b), kd ml) Tybwt) w$rr)%	
John	Curetonian	01:15	wywxnn )shd (lwhy wq() w)mr, hn) hw d)mrt hwyt dbtry )t) whw) lh qdmy, mTl dqdmy hw mny,	
John	Curetonian	01:16	wmn mlywth )nxnn kwln nsbyn )nxnn, wTybwt) xlp Tybwt),	
John	Curetonian	01:17	dnmws) byd mw$) )tyhb, wTybwt) w$rr) byd y$w( m$yx) hw),	
John	Curetonian	01:18	l)lh) mn mtwm )n$ l) xzyhy, yxyd) br) dmn (wbh d)bwhy, hw )$t(y ln,	
John	Curetonian	01:19	whd) hy shdwth dywxnn, kd $drw lwth mn )wr$lm, yhw:dy) wr:by kh:n) wl:wy), w$)lyn lh )nt mn )nt,	
John	Curetonian	01:20	w)wdy w)mr d)n) l) hwyt m$yx),	
John	Curetonian	01:21	w)mryn lh wlm) nby) )nt, )mr lhwn l),	
John	Curetonian	01:22	)mryn lh wmn )nt, )mr ln dntl ptgm) lhnwn d$drwn, mn) )mr )nt (l np$k,	
