book	witness	ref	cal_text	syriac_text
John	Sinaiticus	00:01	)wnglywn dywxnn	
John	Sinaiticus	01:25	hkyl m(md )nt )l) hwyt m$yx), )pl) )ly) w)p l) nby)	
John	Sinaiticus	01:26	)mr lhwn ywxnn )n) m(md )n) bmy) byntkwn dyn q)m hw )yn) d)ntwn l) yd(yn )ntwn lh	
John	Sinaiticus	01:27	hw d)t) btry hw dl) $wn) d)$r) (rq) dmsnwhy	
John	Sinaiticus	01:28	hlyn mll byt (bd) b(brwhy dywrdnn )ylk) dm(md hw) ywxnn	
John	Sinaiticus	01:30	hnw d)mrt hwyt (lwhy dgbr) )t) btry, whw) lh qdmy, mTl dqdmy, hw mny,	
John	Sinaiticus	01:31	w)n) l) yd( hwyt lh )l) mTl dntyd( l)ysryl )tyt )n) dbm:y) )(md	
John	Sinaiticus	01:32	wshd ywxnn w)mr dxzyt lrwx) dqwd$) nxtt mn $my) wqwyt (lwhy	
John	Sinaiticus	01:33	w)n) l) yd( hwyt lh, )l) mn d$drny lm(mdw hw )mr ly d)yn) dxz) )nt dnxt) rwx) wmqwy) (lwhy hw hw m(md brwx) dqwd$)	
John	Sinaiticus	01:34	w)n) xzyt w)shdt dhnw gbyh d)lh)%	
John	Sinaiticus	01:35	wlywm) )xrn) q)m hw) ywxnn wtryn mn tlm:ydwhy lwth	
John	Sinaiticus	01:36	wxr bmrn kd mhlk w)mr h) m$yx) )mrh d)lh),	
John	Sinaiticus	01:37	wkd $m(why hnwn tlm:yd) lywxnn kd mmll )zlw lhwn btrh,	
John	Sinaiticus	01:38	w)tpny mrn w)mr lhwn mn) b(yn )ntwn )mr:yn lh rbn )ylk) hw) )nt,	
John	Sinaiticus	01:39	)mr lhwn tw wtxzwn whnwn )tw btrh wxzw )ylk) dhw) wlwth hww ywm) hw w)yt hwy )yk $() (sr:),	
John	Sinaiticus	01:40	wxd mn hnwn tlm:ydwhy dywxnn )ndryws $mh hw), )xwhy d$m(wn	
John	Sinaiticus	01:41	whw )ndryws xz) l$m(wn )xwhy lcprh dywm), w)mr lh )xy )$kxnyhy lm$yx)	
John	Sinaiticus	01:43	wlywm) )xrn) cb) lmpq lh lglyl) w)$kx lpylypws w)mr lh mrn t) btry,	
John	Sinaiticus	01:44	hw dyn pylpws gnsh mn byt cyd) hw) mn mdynth d)ndryws wd$m(wn	
John	Sinaiticus	01:45	wpylpws )$kx lntn)yl w)mr lh pylpws lntn)yl hw dktb (lwhy mw$) wnb:y), )$kxnyhy dy$w( hw brh dywsp dmn ncrt,	
John	Sinaiticus	01:46	)mr lh ntn)yl mn ncrt m$kx mdm dTb lmpq )mr lh pylypws t) wtxz)	
John	Sinaiticus	01:47	wxzyhy	
John	Sinaiticus	02:16	w)mr hw) lhnwn dmzbnyn yw:n) $qwlw hlyn mn hmk) wl) t(bdwnyhy byth d)by byt tgrt)	ܢܦܩܘܢܟܘܢ ܓܝܪ ܡܢ ܟܢܘܫܬܗܘܢ ܘܬܐܬܐ ܫܥܬܐ ܕܡܢ ܕܢܩܛܘܠܟܘܢ ܢܣܒܪ ܕܠܐܠܗܐ ܦܠܚ
John	Sinaiticus	02:17	kd hlyn (bd )tdkrw tlm:ydwhy dktyb dTnn) dbytk )klny	ܐܝܟܢܐ ܕܝܗܒܬ ܠܗ ܫܘܠܛܢܐ ܥܠ ܟܘܠ ܒܣܪ ܕܟܠ ܡܐ ܕܝܗܒܬ ܠܗ ܢܬܠ ܠܗ ܚ̈ܝܐ ܕܠܥܠܡ܂
John	Sinaiticus	02:18	)mryn lh yhwdy) mn) hy )t) hd) dmxw) )nt ln dhlyn (bd )nt	ܝܗܘܕܐ ܕܝܢ ܡܫܠܡܢܐ ܝܕܥ ܗܘܐ ܠܗ ܠܗܝ ܕܘܟܬܐ ܡܛܠ ܕܙܒ̈ܢܝܢ ܣܓܝ̈ܐܐ ܟܢܫ ܗܘܐ ܬܡܢ ܝܫܘܥ ܥܡ ܬܠܡܝܕܘܗܝ
John	Sinaiticus	02:19	(n) mrn w)mr lhwn stwrw hykl) wltlt) ywmyn )qym lh	
John	Sinaiticus	02:20	)mryn lh l)rb(yn w$t $nyn )tbny hykl) hn) w)nt ltlt) ywmyn bn) )nt lh	ܘܪܗܛܬ ܐܬܬ ܠܘܬ ܫܡܥܘܢ ܟܐܦܐ ܘܠܘܬ ܗܘ ܬܠܡܝܕܐ ܕܪܚܡ ܗܘܐ ܠܗ ܝܫܘܥ ܘܐܡܪܐ ܠܗܘܢ ܕܫܩܠܘܗܝ ܠܡܪܢ ܡܢ ܗܘ ܒܝܬ ܩܒܘܪܐ ܘܠܐ ܝܕܥܢܐ ܐܝܟܐ ܐܘܒܠܘܗܝ
John	Sinaiticus	02:21	hw dyn (l hykl) dpgrh )mr hw),	ܟܕ ܟܢܝܫܝܢ ܗܘܘ܂ ܟܠܗܘܢ ܐܟܚܕܐ܂ ܫܡܥܘܢ ܟܐܦܐ ܘܬܐܘܡܐ ܘܢܬܢܐܝܠ ܗܘ ܕܡܢ ܩܛܢܐ ܕܓܠܝܠܐ܂ ܘܒܢܝ ܙܒܕܝ ܘܬܪ̈ܝܢ ܐܚܪ̈ܢܝܢ ܡܢ ܬܠܡܝ̈ܕܐ܂
John	Sinaiticus	02:22	kd qm dyn mn byt myt:) )tdkrw tlm:ydwhy dhlyn )mr hw) whymnw lk:tb) wlmlt) d)mr mrn%	
John	Sinaiticus	02:23	wkd hw) b)wr$lm bywmt) d(d(yd) dpTyr) whymnw lmrn sgy)) mTl dxzyn hww )twt) d(bd lhwn	
John	Sinaiticus	02:24	hw dyn mrn l) mhymn hw) lhwn np$h	
