book	witness	ref	cal_text	syriac_text
Luke	Curetonian	02:48	(bdt ln hkn), dh) )nxnn b(qt) wbTwrp) sgy)) b(yn hwyn lk,	
Luke	Curetonian	02:49	)mr lhwn mn) b(yn )ntwn ly, l) yd(yn )ntwn dbyt )b) wl) ly d)hw),	
Luke	Curetonian	02:50	hnwn dyn l) )$twd(wh. lmlt) d)mr lhwn,	
Luke	Curetonian	02:51	wnxt (mhwn w)t) lncrt, wm$t(bd hw) lhwn, )mh dyn klhyn hlyn m:l) nTr) hwt br(ynh,	
Luke	Curetonian	02:52	y$w( dyn rb) hw) bqwmth, wsg) bxkmth wbTybwth, lwt )lh) wlwt b:ny )n$)%	
Luke	Curetonian	03:02	brbwt khnwt) dxnn wdqyp), hwt mlt) d)lh) (l ywxnn br zkry),	
Luke	Curetonian	03:03	wmkrz hw) bmdbr) wbklh )tr) d:xdry ywrdnn, m(mwdyt) dtybwt) l$wbqn) dx:Th),	ܘܡܟܪܙ ܗܘܐ ܒܡܕܒܪܐ ܘܒܟܠܗ ܐܬܪܐ ܕ̈ܚܕܪܝ ܝܘܪܕܢܢ܂ ܡܥܡܘܕܝܬܐ ܕܬܝܒܘܬܐ ܠܫܘܒܩܢܐ ܕܚ̈ܛܗܐ܂
Luke	Curetonian	03:04	)ykn) dktyb bnbywth d)$(y) nby), ql) dqr) bmdbr), pnw )wrx) lmry), wtrwc bpq(t) $:byl) l)lhn,	
Luke	Curetonian	03:06	wntgl) )yqrh dmry), wnxzwnh )kxd) kwl bsr, mTl dpwmh dmry) mll%	
Luke	Curetonian	03:07	w)mr hw) lkn:$) )ylyn d)tyn hww lwth, yld) d):kdn) mnw xwykwn lm(rq mn rwgz) d)t),	
Luke	Curetonian	03:08	(bdw hkyl p)r:) d$wyn ltybwt), wl) t$rwn lm)mr d)b) )yt ln )brhm, )mrn) lkwn gyr dm$kx )lh) dmn hlyn k):p) lmqmw b:ny) l)brhm,	ܘܝܘܚܢ ܐܢܬܬ ܟܘܙܐ ܐܦܛܪܘܦܗ ܕܗܪܘܕܣ܂ ܘܫܘܫܢ܂ ܘܐ̈ܚܪܢܝܬܐ ܣܓ̈ܝܐܬܐ ܕܡܫܡܫܢ ܗܘܝ ܠܗܘܢ ܡܢ ܡܕܡ ܕܐܝܬ ܗܘܐ ܠܗܝܢ܀
Luke	Curetonian	03:09	wh) mTy lh nrg) lwt (qrhwn d):yln), kwl )yln) dyn dp):r) Tb:) l) (bd mtpsq wbnwr) npl%	ܘܐܡܪ ܠܗܘܢ ܡܕܡ ܠܐ ܬܫܩܠܘܢ ܠܟܘܢ ܠܐܘܪܚܐ܂ ܠܐ ܫܒܛܐ ܘܠܐ ܬܪܡܠܐ܂ ܘܠܐ ܠܚܡܐ ܘܠܐ ܟܣܦܐ܂ ܘܠܐ ܬܪ̈ܬܝܢ ܟܘ̈ܬܝܢܝܢ ܢܗܘܝܢ ܠܟܘܢ܂
Luke	Curetonian	03:10	wm$)lyn hww lh kn:$), mn) n(bd wnx),	ܙܠܘ ܗܫܐ ܗܐ ܡܫܕܪ ܐܢܐ ܠܟܘܢ ܐܝܟ ܐܡ̈ܪܐ ܒܝܢܝ ܕܐ̈ܒܐ܂
Luke	Curetonian	03:11	)mr lhwn mn d)yt lh tr:tyn kw:tynyn ntl xd) mnhyn lmn dlyt lh, wmn d)yt lh sybrt) hkn) n(bd,	ܘܗܒ ܠܢ ܠܚܡܐ ܐܡܝܢܐ ܕܟܠܝܘܡ܂
Luke	Curetonian	03:12	w)tw )p m:ks) lm(md, )mryn lh mn) n(bd,	ܐܝܠܝܢ ܓܝܪ ܕܒܚܫܘܟܐ ܐܡܪܬܘܢ ܒܢܘܗܪܐ ܢܫܬܡܥܢ܂ ܘܡܕܡ ܕܒ̈ܬܘܢܐ ܒܐܕ̈ܢܐ ܠܚܫܬܘܢ ܥܠ ܐ̈ܓܪܐ ܢܬܟܪܙ܀
Luke	Curetonian	03:13	)mr lhwn l) tgbwn mdm ytyr (l mdm dpsyq lkwn,	ܐܡܪܢܐ ܠܟܘܢ ܕܠܐ܂ ܐܠܐ ܐܦ ܐܢܬܘܢ ܐܠܐ ܬܬܘܒܘܢ ܗܟܢܐ ܬܐܒܕܘܢ ܟܠܟܘܢ܂
Luke	Curetonian	03:14	w$)lwhy hww )p ):sTrTywT) w)mryn lh, mn) n(bd )p )nxnn, )mr lhwn l)n$ l) t($qwn, wb)n$ l) ttTgrwn, spqn lkwn )p:swnytkwn,	ܥܢܐ ܝܫܘܥ ܘܐܡܪ ܠܣ̈ܦܪܐ ܘܠܦܪ̈ܝܫܐ܂ ܕܐܢ ܫܠܝܛ ܠܡܐܣܝܘ ܒܫܒܬܐ ܐܘ ܠܐ܂
Luke	Curetonian	03:15	w)n$) d$m(yn hww lh mtr(yn hww bnp$hwn w)mryn lm) ky hwyw m$yx),	ܐܡܪ ܠܗܘܢ ܗܘ ܡܬܠܐ ܗܢܐ܂
Luke	Curetonian	03:16	)mr lhwn )n) h) m(mdn) lkwn b:my)	ܐܡܪ ܗܘ ܪܒ ܒܝܬܐ ܒܢܦܫܗ܂ ܡܢܐ ܐܥܒܕ ܕܡܪܝ ܫܩܠ ܠܗܿ ܪܒܬ ܒܝܬܘܬܐ ܡܢܝ܂ ܕܐܦܠܚ ܠܐ ܡܫܟܚܢܐ܂ ܘܠܡܚܕܪ ܒܗܬܢܐ܂
Luke	Curetonian	07:33	)kl wl) $t), )mryn )ntwn $)d) bh,	
Luke	Curetonian	07:34	w)t) brh dgbr) )kl w$t), )mryn )ntwn h) gbr) )kwl) wrwy), wrxm) dm:ks) wdx:Ty),	
Luke	Curetonian	07:35	w)zddqt xkmt) mn b:nyh%	
Luke	Curetonian	07:36	w)t) pry$) xd b() mnh dnl(s lwth, w(l lbyth dpry$) hw, wkd )stmk,	
Luke	Curetonian	07:37	)ntt) xd) xTyt) )yt hwt bhy mdynt), kd yd(t dbbyth dhw pry$) smyk, nsbt $Typt) dm$x) dbsym),	
Luke	Curetonian	07:39	kd xz) dyn pry$) hw dqryhy )tx$b bnp$h w)mr, hn) )lw nby) hw) yd( hw) mn hy, )w m) Tbh. d)ntt) hy xTyt) dqrbt lh,	
Luke	Curetonian	07:40	)mr lh y$w(, $m(wn, )yt ly mdm d)mr lk, )mr lh )mr rby, )mr lh y$w(,	
Luke	Curetonian	07:41	tr:yn xy:byn )yt hww lxd mr) xwb), xd xyb hw) lh dy:nr) xm:$m)), wxd dy:nr) xm:$yn,	
Luke	Curetonian	07:42	wkdl) )yt hw) lhwn lmpr( ltr:yhwn $bq, )yn) mnhwn nxbywhy ytyr)yt,	
Luke	Curetonian	07:43	)mr lh $m(wn, sbr )n) dhw dytyr )$tbq lh, )mr lh y$w( $pyr dnt,	
Luke	Curetonian	07:44	w)tpny lwt )ntt) w)mr l$m(wn, xz) )nt )ntt) hd), lbytk (lt, m:y) lr:gly l) yhbt ly, hy dyn bd:m(yh r:gly cb(t, wbs(r) dr$h. $wyt )nyn,	
Luke	Curetonian	07:45	)nt l) n$qtny, hy dyn mn d(lt l) $lyt rg:ly lmn$qw,	
Luke	Curetonian	07:46	)nt l) m$xtny, hy dyn bm$x) dbsym) m$xt r:gly,	
Luke	Curetonian	07:47	mTl hn) )mrn) lk $byqyn lh. xTh:yh sg:y)), mTl dsgy )xbt, mn dqlyl gyr )$tbq lh, qlyl hw mxb,	
Luke	Curetonian	07:48	)mr lh. lhy )ntt), d$byqyn lky xT:hyky,	
Luke	Curetonian	07:49	w$ryw hnwn dsmykyn )mryn bnp$hwn, mnw hn) d)p xT:h) $bq,	
Luke	Curetonian	07:50	w)mr l)ntt) hy hymnwtky )xytky zly b$lm)%	
Luke	Curetonian	08:01	wmn btr hlyn, mtkrk hw) bq:wry) wb:mdynt), wmsbr mlkwth d)lh), )p tr:(srth (mh,	
Luke	Curetonian	08:02	wn$:) hlyn d)t)sy hwy mn r:wx) by$:t), wmn kw:rhn), mrym dmtqry) mgdlyt), hy d$b() $):dyn )pq hw) mnh.,	
Luke	Curetonian	08:03	wywxn )ntt kwz) )pTrwph dhrwds, w$w$n, w):xrnyt) sg:y)t) dm$m$n hwy lhwn mn mdm d)yt hw) lhyn%	ܥܒܕܘ ܗܟܝܠ ܦܐܪ̈ܐ ܕܫܘܝܢ ܠܬܝܒܘܬܐ܂ ܘܠܐ ܬܫܪܘܢ ܠܡܐܡܪ ܕܐܒܐ ܐܝܬ ܠܢ ܐܒܪܗܡ܂ ܐܡܪܢܐ ܠܟܘܢ ܓܝܪ ܕܡܫܟܚ ܐܠܗܐ ܕܡܢ ܗܠܝܢ ܟܐ̈ܦܐ ܠܡܩܡܘ ܒ̈ܢܝܐ ܠܐܒܪܗܡ܂
Luke	Curetonian	08:04	wkd )tkn$ kn$) sgy)), w)ylyn dmn mdy:nt) )tyn hww lwth, )mr lhwn bm:tl),	
Luke	Curetonian	08:05	h) npq zrw() lmzr(, wkd zr(, )yt dnpl (l yd )wrx) w)tdy$, w)klth prxt),	
Luke	Curetonian	08:07	)xrn) npl byt kwb:), wy(w (mh wxnqwhy,	
Luke	Curetonian	08:08	wxrn) npl b)r() Tbt) wyhbt p)r:), wy() wyhb p)r:), xd bm)), wkd )mr hlyn, bql) rm) )mr hw), dmn d)yt lh )d:n) dn$m( n$m(%	ܘܚܪܢܐ ܢܦܠ ܒܐܪܥܐ ܛܒܬܐ ܘܝܗܒܬ ܦܐܪ̈ܐ܂ ܘܝܥܐ ܘܝܗܒ ܦܐܪ̈ܐ܂ ܚܕ ܒܡܐܐ܂ ܘܟܕ ܐܡܪ ܗܠܝܢ܂ ܒܩܠܐ ܪܡܐ ܐܡܪ ܗܘܐ܂ ܕܡܢ ܕܐܝܬ ܠܗ ܐܕ̈ܢܐ ܕܢܫܡܥ ܢܫܡܥ܀
Luke	Curetonian	08:09	w$)lwhy hww tlm:ydwhy, mnw mtl) hn),	ܘܐܚܪ̈ܢܐ ܐܡܪܝܢ ܕܐܠܝܐ ܐܬܚܙܝ܂ ܐܚ̈ܪܢܐ ܐܡܪܝܢ ܕܚܕ ܡܢ ܢܒ̈ܝܐ ܩܕ̈ܡܝܐ ܩܡ ܡܢ ܒܝܬ ܡ̈ܝܬܐ܂
Luke	Curetonian	08:10	)mr lhwn, lkwn hw yhyb lmd( )rz) dmlkwth d)lh), lhnwn dyn br:y) l) yhyb lhwn lmd(, mTl hn) b:pl)t) mt)mr lhwn, dkd xzyn l) nxzwn, wkd $m(yn l) nstklwn,	ܘܠܐܝܕܐ ܡܕܝܢܬܐ ܕܥܠܝܢ ܐܢܬܘܢ ܠܗܿ ܘܡܩܒܠܝܢ ܠܟܘܢ܂ ܠܥܣܘ ܟܘܠ ܡܕܡ ܕܡܬܣܝܡ ܩܕܡܝܟܘܢ܂
Luke	Curetonian	08:11	hn) dyn mtl) )ytwhy, zr() mlth hy d)lh),	ܐܡܪ ܐܢܐ ܠܟܘܢ ܕܐܢ ܡܛܠ ܪܚܡܘܬܐ ܠܐ ܢܩܘܡ ܢܬܠ ܠܗ܂ ܡܛܠ ܚܨܝܦܘܬܗ ܢܩܘܡ ܘܢܬܠ ܠܗ ܟܡܐ ܕܡܬܒܥܐ ܠܗ܂
Luke	Curetonian	08:12	whnwn d(l yd )wrx), hlyn )nwn d$m(yn mlt) d)lh), w)t) b(ldbb) $ql lh. mlt) mn lbhwn, dl) nhymnwn wnxwn,	ܐܡܪܢܐ ܠܟܘܢ ܕܝܢ ܕܟܠ ܕܢܘܕܐ ܒܝ ܩܕܡ ܒ̈ܢܝ ܐܢܫܐ܂ ܐܦ ܒܪܗ ܕܐܢܫܐ ܢܘܕܐ ܒܗ ܩܕܡ ܡܠܐ̈ܟܘܗܝ ܩ̈ܕܝܫܐ܂
Luke	Curetonian	08:13	whw d(l $w(), hlwk )nwn dm) d$m(w mlt), (gl bxdwt) mqblyn lh., w(qr) lyt lhwn bh., wbzbn mhymnyn, wbzbn nsywn) mtk$lyn,	ܐܡܪ ܠܗ ܗܘ ܦܠܚܐ܂ ܡܪܝ ܫܒܘܩܝܗ ܐܦ ܗܕܐ ܫܢܬܐ܂ ܥܕ ܐܦܠܚܝܗ ܘܐܙܒܠܝܗ܂
Luke	Curetonian	08:17	lyt gyr mdm dks) dl) ntgl), w)pl) dmT$y dl) ntyd( wn)t) lgly),	ܐܠܐ ܐܡܪ ܠܗ ܛܝܒ ܠܝ ܡܕܡ ܕܐܚܫܡ܂ ܘܐܣܘܪ ܚܨ̈ܝܟ ܫܡܫܝܢܝ܂ ܥܕܡܐ ܕܐܠܥܣ ܘܐܫܬܐ܂ ܘܒܬܪ ܟܢ ܘܐܦ ܐܢܬ ܬܠܥܣ ܘܬܫܬܐ܂
Luke	Curetonian	08:18	xzw mn) $m(twn, mn d)yt lh gyr ntyhb lh wntwsp lh, whw dlyt lh, )p hw mdm dsbr hw) d)yt lh n$tql lh mnh%	ܐܡܪܢܐ ܠܟܘܢ ܕܢܥܒܕ ܬܒܥܬܗܘܢ ܒܥܓܠ܂ ܒܪܡ ܢܐܬܐ ܟܝ ܒܪܗ ܕܐܢܫܐ ܘܢܫܟܚ ܗܝܡܢܘܬܐ ܥܠ ܐܪܥܐ܀
Luke	Curetonian	08:19	w)tw hww lwth dy$w( )mh w):xwhy, wqymyn hww lbr, wl) m$kxyn hww dnxzwnh, mTl kn$) d)n$),	ܘܩܡ ܙܟܝ ܘܐܡܪ ܠܡܪܢ܂ ܗܐ ܡܪܝ ܦܠܓܘܬ ܢܟܣ̈ܝ ܝܗܒ ܐܢܐ ܠܡܣ̈ܟܢܐ܂ ܘܟܠ ܕܓܠܙܬ ܚܕ ܒܐܪܒ̈ܥܐ ܦܪܥ ܐܢܐ܂
Luke	Curetonian	08:20	w)mrw lh )mk w)x:yk qymyn lbr, wcbyn lmxzyk,	ܐܡܪ ܠܗܘܢ ܝܫܘܥ܂ ܘܐܦܠܐ ܐܢܐ ܐܡܪܢܐ ܠܟܘܢ ܒܐܝܢܐ ܫܘܠܛܢܐ ܥܒܕ ܐܢܐ ܗܠܝܢ܀
Luke	Curetonian	08:21	hw dyn (n) w)mr lhwn, hlyn )nwn )my w):xy, )ylyn d$m(yn d)lh) w(bdyn lh.%	ܗܘ ܕܝܢ ܐܡܪ ܠܗܘܢ܂ ܚܙܘ ܕܠܡܐ ܬܛܥܘܢ܂ ܣ̈ܓܝܐܐ ܓܝܪ ܢܐܬܘܢ ܒܫܡܝ ܘܢܐܡܪܘܢ ܕܐܢܐ ܐܢܐ܂ ܘܙܒܢܐ ܩܪܒ܂ ܠܐ ܬܐܙܠܘܢ ܒܬܪܗܘܢ܂
Luke	Curetonian	08:22	whw) hw) bxd mn ywm:t) hnwn, slq y$w( ytb bspynt), hw wtlm:ydwhy (mh, w)mr lhwn n(br ln lh.w (br) dymt),	ܫܕܪ ܠܟܐܦܐ ܘܠܝܘܚܢܢ ܘܐܡܪ ܠܗܘܢ܂ ܙܠܘ ܛܝܒܘ ܠܢ ܦܨܚܐ ܕܢܠܥܣ܂
Luke	Curetonian	08:24	wqrbw )(yrwhy w)mryn lh mrn )bdyn )nxnn, wqm wk)) brwx) wbmx$wl) dm:y), whw) $ly),	ܘܐܬܕܟܪ ܐܢܝܢ ܠܡ̈ܠܐ ܗܠܝܢ܂
Luke	Curetonian	08:25	w)mr lhwn )yk) hy hymnwtkwn, hnwn dyn kd dxylyn, mtdmryn hww w)mryn xd lxd, mnw ky hn) d)p lrw:x) wlym) pqd wm$tm(yn lh%	
Luke	Curetonian	08:26	wrdw hww l)tr) dgd:ry), hw d)ytwhy lwqbl (br) dglyl),	
Luke	Curetonian	08:27	kd npq dyn l)r(), pg( bh gbr) xd d)yt hw) (lwhy $)d) mn zbn) sgy)), w:nxt) l) lb$ hw), wbbyt) l) (mr hw), )l) byt qbwr), wkwl mq() q() hw), wmmx) hw) np$h bk):p),	
Luke	Curetonian	08:28	wkd xz) ly$w(, q() wnpl sgd lh, wbql) rm) )mr, m) ly wlk y$w( brh d)lh) rm), b() )n) mnk l) t$nqny,	
Luke	Curetonian	08:30	$)lh dyn y$w( w)mr mn $mk, w)mr lh lgywn, mTl ds:gy)) )nxnn bh,	
Luke	Curetonian	08:31	wb(yn hww mnh hnwn $)d:) dl) n$dr )nwn lghn) wl) npq )nwn,	
Luke	Curetonian	08:32	)yt hwt dyn tmn bTwr) bqr) xd) d:xzyr) sg:y)) dr(yn hww tmn, wb(yn hww mnh hnwn $):d) dnps lhwn lm(l bhy bqr) dx:zyr), w)ps lhwn,	
Luke	Curetonian	08:33	wnpqw $):d) mn gbr) hw w(lw b:xzyr), wtrct hy klh. bqr) l$qyp), wnplw bym) w)txnqw,	
Luke	Curetonian	08:34	kd xzw dyn hnwn r:(wt) mdm dhw) (rqw, w)$t(yw bm:dynt) wb:qwry),	
Luke	Curetonian	08:35	wnpqw )n$) dnxzwn mdm dhw), w)tw lwt y$w(, w)$kxw lh.w gbr) dnpqw mnh hnwn $)d:), kd lby$ wmnkp wytb lwt r:glwhy dy$w( wdxlw,	
Luke	Curetonian	08:36	w)$t(yw lhwn )ykn) xy) gbr) hw, w)ylyn dxzw twb	
Luke	Curetonian	08:37	b(yn hww mnh klh kn$) hw dg:dry), dn)zl lh mn lwthwn, mTwl ddxlt) rbt) )xdt hwt )nwn, hw dyn slq lh lspynt) whpk mn lwthwn,	
Luke	Curetonian	08:38	hw dyn gbr) dnpqw hww mnh hnwn $):d), b() hw) mnh dlwth nhw), w$ryhy y$w( w)mr lh,	
Luke	Curetonian	08:39	hpwk lbytk wlbyt ):n$yk, w)$t() lhwn )ylyn d(bd lk mry), w)zl hw) wmkrz hw) bkwlh. mdynt) mdm d(bd lh y$w(,	
Luke	Curetonian	08:40	wkd hpk y$w( qblh kn$) sgy)), lh gyr xyryn hww%	
Luke	Curetonian	08:41	w)t) gbr) xd yw)r$ $mh hw), wry$ knw$t) hw), wnpl qdm r:glwhy dy$w(, wb() hw) mnh dn(wl lbyth,	
Luke	Curetonian	08:43	w)ntt) xd) drd) hw) dmh. $:nyn tr:t(sr), wkwlh qnynh. )pqt (l )s:wt), wl) )$kxt dtt)s) mn )n$, w)tr(yt bnp$h. w)mr), )pn lnxt:why dy$w( )zl) )n) qrb) )n) mt)sy) )n),	
Luke	Curetonian	08:44	wqrbt mn bstrh, w)xdt bknp) dnxth, wqmt mrdyt) ddmh.,	
Luke	Curetonian	08:45	w)tpny y$w( w)mr mnw qrb ly, wkd klhwn kpryn hww, )mr lh k)p), rbn k:n$) xbcyn lk w)tyn, w)mr )nt mnw qrb ly,	
Luke	Curetonian	08:46	)mr lh y$w(, )n$ qrb ly, )n) gyr yd( )n) dxyl) npq mny,	
Luke	Curetonian	08:47	kd xzt dyn hy )ntt) d)pl) hd) T(th, )tt kd dxyl) wrtyt) nplt sgdt lh, w)mrt l(yn (m) hw kwlh mTl )yd) cbw qrbt, w)ykn) br $(th )t)syt qdm kl )n$ )wdyt,	
Luke	Curetonian	08:48	hw dyn )mr lh. brty hymnwtky )xytky zly b$lm),	
Luke	Curetonian	08:49	wkd mll, )tw mn dbyt rb knw$t) w)mryn lh, mytt lh. brtk l) t(ml lmlpn),	
Luke	Curetonian	08:50	kd $m( dyn y$w( dhkwt )mrw, )mr lh l) tdxl, blxwd mhymnw hymn wtx) brtk,	
Luke	Curetonian	08:51	wkd )t) lbyth dhw gbr), l) $bq l)n$ dn(wl, )l) lk)p) wly(qwb wlywxnn, wl)bwh. wl)mh dTlyt),	
Luke	Curetonian	08:52	wklhwn )n$) bkyn hww (lyh wmrqdyn hww, )mr lhwn y$w( l) tbkwn, Tlyt) gyr l) mytt, mdmk hw dmk),	
Luke	Curetonian	08:53	hnwn dyn gxkyn hww (lwhy dyd(yn hww dmytt lh.,	
Luke	Curetonian	08:54	whw )xdh. b)ydh. wqrh. w)mr lh., Tlyt) qwmy,	
Luke	Curetonian	08:55	whpkt rwxh., wbr$(th qmt, wpqd dntlwn lh. lm)kl,	
Luke	Curetonian	08:56	wtmhw hww )b:hyh, whw pqd )nwn dl)n$ l) n)mrwn m) dhw)%	
Luke	Curetonian	09:01	wqr) )nwn y$w( ltr(:srth, wyhb lhwn xyl) w$wlTn) (l kl r:wx) w$):d), wkr:yh) lm)syw,	
Luke	Curetonian	09:02	w$dr )nwn dnkrzwn mlkwth d)lh) wlm)syw,	
Luke	Curetonian	09:03	w)mr lhwn mdm l) t$qlwn lkwn l)wrx), l) $bT) wl) trml), wl) lxm) wl) ksp), wl) tr:tyn kw:tynyn nhwyn lkwn,	ܘܗܐ ܡܛܝ ܠܗ ܢܪܓܐ ܠܘܬ ܥܩܪܗܘܢ ܕܐ̈ܝܠܢܐ܂ ܟܘܠ ܐܝܠܢܐ ܕܝܢ ܕܦܐ̈ܪܐ ܛܒ̈ܐ ܠܐ ܥܒܕ ܡܬܦܣܩ ܘܒܢܘܪܐ ܢܦܠ܀
Luke	Curetonian	09:04	wlbyt) )yn) d(lyn )ntwn tmn hww, wmn tmn pwqw,	
Luke	Curetonian	09:05	w)ylyn dl) mqblyn lkwn, m) dnpqyn )ntwn mn mdynt) hy, w)p xl) d:rglykwn pcw, dthw) lhwn lshdwt)%	
Luke	Curetonian	09:06	wkd npqw $:lyxwhy, wmtkrkyn bq:wry) wb:mdynt), wmsbryn hww wm)syn bkwl dwk),	
Luke	Curetonian	09:07	w$m( hrwds TyTrk) klhyn hlyn dhwy wmtdmr hw), mTl d)mryn hww ):n$yn mnhwn, dywxnn qm mn byt m:yt),	
Luke	Curetonian	09:08	w)xr:n) )mryn d)ly) )txzy, )x:rn) )mryn dxd mn nb:y) qd:my) qm mn byt m:yt),	ܘܫܐܠܘܗܝ ܗܘܘ ܬܠܡ̈ܝܕܘܗܝ܂ ܡܢܘ ܡܬܠܐ ܗܢܐ܂
