book	witness	ref	cal_text	syriac_text
Luke	Sinaiticus	00:01	)wnglywn dlwq)%	
Luke	Sinaiticus	01:01	mTl dsgy)) cbw lmktb wlm$t(yw (l cbw:t) )ylyn dbn m$m:lyn,	ܡܛܠ ܕܣܓܝܐܐ ܨܒܘ ܠܡܟܬܒ ܘܠܡܫܬܥܝܘ ܥܠ ܨܒܘ̈ܬܐ ܐܝܠܝܢ ܕܒܢ ܡܫܡ̈ܠܝܢ܂
Luke	Sinaiticus	01:02	)ykn) d)$lmw ln hnwn, dmn qdym hww x:zy) wm$m$n) dmlt)	ܘܗܘܐ ܒܝܘܡ̈ܬܐ ܗܢܘܢ ܦܩܕ ܗܘܐ ܐܓܘܣܛܘܣ ܩܣܪ ܕܢܬܟܬܒܘܢ ܟܘܠܗ ܐܪܥܐ܂
Luke	Sinaiticus	01:04	dtd( $rr) dm:l) d)tlmdt lhyn%	ܝܫܘܥ ܕܝܢ ܟܕ ܡܠܐ ܒܪܘܚܐ ܕܩܘܕܫܐ ܗܦܟ ܡܢ ܝܘܪܕܢܢ ܘܕܒܪܬܗ ܪܘܚܐ ܕܩܘܕܫܐ ܘܐܦܩܬܗ ܠܡܕܒܪܐ
Luke	Sinaiticus	01:05	hw) bywmth dhrwds mlk) dyhwd khn) xd d$mh hw) zkry) mn plgwt) dbyt )bym, w)ntth mn bnth hwt d)hrwn $mh hw) )yly$b(	ܘܒܗܘ ܟܢܫܐ ܕܐܕܫ ܗܘܐ ܕܢܫܡܥ ܡܢܗ ܡܠܬܗ ܕܐܠܗܐ ܘܗܘ ܩܐܡ ܗܘܐ ܥܠ ܝܕ ܝܡܬܐ ܕܓܢܣܪ
Luke	Sinaiticus	01:07	br) dyn lyt hw) lhwn, mTl d)ly$b( (qrt) hwt, wtr:yhwn sgy)y ywmt) hww%	ܘܟܕ ܐܬܡܠܝ ܡ̈ܠܐ ܟܘܠܗܝܢ ܠܡܫܡܥܬܗ ܕܥܡܐ܂ ܥܠ ܠܟܦܪ ܢܚܘܡ
Luke	Sinaiticus	01:08	hw) h.w) dyn kd m$m$ hw) bTks) dkh:n) qdm )lh)	ܘܡܢ ܒܬܪ ܗܠܝܢ ܡܬܟܪܟ ܗܘܐ ܒܩܘܪ̈ܝܐ ܘܒܡܕܝܢܬܐ ܘܬܪܥܣܪ̈ܬܗ ܥܡܗ ܘܡܣܒܪ ܡܠܟܘܬܗ ܕܐܠܗܐ
Luke	Sinaiticus	01:09	b(yd) dt$m$t) dkhn), mTyhy hw) lm(lw bs:m), wkd (l lhykl),	ܘܩܪܐ ܕܝܢ ܠܬܪܥܣܪܬܗ ܘܝܗܒ ܠܗܘܢ ܥܠܝܐ ܘܫܘܠܛܢܐ ܥܠ ܟܘܠܗܘܢ ܫܐܕܐ ܘܟܪ̈ܝܗܐ ܠܡܐܣܝܘ܂
Luke	Sinaiticus	01:10	swg)) d(m) q)m hw) wmcl) b(dn) dbs:m),	ܘܡܢ ܒܬܪ ܗܠܝܢ ܦܪܫ ܡܢ ܬܠܡܝܕܘܗܝ ܐܚܪ̈ܢܐ ܫܒܥܝܢ ܘܬܪܝܢ ܘܫܕܪ ܐܢܘܢ ܬܪܝܢ ܬܪܝܢ ܩܕܡ ܐܦܘܗܝ ܠܟܠ ܐܬܪ ܘܡܕܝܢܐ ܕܥܬܝܕ ܗܘܐ ܠܡܐܙܠ
Luke	Sinaiticus	01:11	w)txzy lh lzkry) ml)k) dmry) kd q)m mn ymyn) dmdbx) dbsm),	ܘܟܕ ܡܨܠܐ ܗܘܐ ܒܕܘܟܬܐ ܒܬܪ ܕܦܪܩ ܡܢ ܨܠܘܬܗ ܐܡܪ ܠܗ ܚܕ ܡܢ ܬܠܡܝܕܘܗܝ ܡܪܢ ܐܠܦܝܢ ܠܡܨܠܝܘ ܐܝܟܢܐ ܕܝܘܚܢܢ ܐܠܦ ܠܬܠܡܝܕܘܗܝ
