book	witness	ref	cal_text	syriac_text
Mark	Sinaiticus	01:12	)pqth rwx) lmdbr),	ܘܫܪܝ ܗܘܐ ܕܢܡܠܠ ܒܡ̈ܬܠܐ ܓܒܪܐ ܢܨܒ ܟܪܡܐ ܘܐܚܕܪܗ ܣܝܓܐ ܘܚܦܪ ܒܗ ܡܥܨܪܬܐ ܘܒܢܐ ܒܗ ܡܓܕܠܐ ܘܐܘܚܕܗ ܠܦܠܚ̈ܐ ܘܥܢܕ
Mark	Sinaiticus	01:13	whw) tmn ywm:t) )r:b(yn kd mtns) mn sTn) whw) (m xy:wt) wml):k) m$m$yn hww lh%	ܘܟܕ ܢܦܩ ܗܘܐ ܝܫܘܥ ܡܢ ܗܝܟܠܐ ܐܡܪ ܠܗ ܚܕ ܡܢ ܬܠܡܝܕܘܗܝ ܪܒܝ ܗܐ ܚܙܝ ܟܐܦܐ ܘܒܢܝܢܐ ܪܒܐ
Mark	Sinaiticus	01:14	wbtr d)$tlm ywxnn )t) y$w( lglyl), wmkrz hw) sbrt) d)lh)	ܡܢ ܩܕܡ ܬܪܝܢ ܝܘܡ̈ܝܢ ܕܗܘܐ ܗܘܐ ܦܛܝܪܐ ܕܦܣܟ ܒܥܝܢ ܗܘܘ ܪܒܝ ܟܗ̈ܢܐ ܘܣܦܪ̈ܐ ܐܝܟܢܐ ܒܢܟܠܐ ܢܐܚܕܘܢܗ ܘܢܩܛܠܘܢܗ܂
Mark	Sinaiticus	01:15	d$lm zbn) wmTyt mlkwt) d)lh) twbw whymnw bsbrth,	ܘܒܨܦܪܐ ܢܣܒܘ ܡܠܟܐ ܪ̈ܒܝ ܟܗ̈ܢܐ ܘܩܫ̈ܝܫܐ ܘܣܦܪ̈ܐ ܘܟܘܠܗ ܥܡܐ ܘܐܣܪܘܗܝ ܠܝܫܘܥ ܘܐܘܒܠܘܗܝ ܘܐܫܠܡܘܗܝ ܠܦܝܠܛܘܣ
Mark	Sinaiticus	01:16	wkd mhlk hw) (l gnb ymt) dglyl), xz) l$m(wn wl)ndrs )xwhy kd r:myn mcydthwn bym), mTl dcy:d) hww,	ܘܟܕ ܥܒܪܬ ܫܒܬܐ ܙܒܢ ܡܫܚܐ ܘܗܪ̈ܘܡܐ܂ ܡܪܝܡ ܡܓܕܠܝܬܐ܂ ܘܡܪܝܡ ܒܪܬ ܝܥܩܘܒ ܘܫܠܘܡ܂ ܕܢܐܬܝܢ ܢܡܫܚܢܝܗܝ
Mark	Sinaiticus	01:17	w)mr lhwn y$w( tw btry, w)(bdkwn cy:d) dbn:y )n$),	
Mark	Sinaiticus	01:18	wbh b$(t) $bqw mcydt:hwn w)zlw btrh,	
Mark	Sinaiticus	01:19	wkd hlk twb qlyl xz) ly(qwb br zbdy wlywxnn )xwhy, )p lhwn kd ytbyn bspynt) wmtqnyn mcydthwn,	
Mark	Sinaiticus	01:20	wbh b$(t), qr) )nwn w$bqw lzbdy )bwhwn (m )gyr:) bspynt) w)zlw btrh%	
Mark	Sinaiticus	01:21	wmlp hw) b$bt) bknw$t)	
Mark	Sinaiticus	01:22	wtmyhyn hww bywlpnh )yk m$lT) gyr mlp hw) wl) )yk spr:yhwn	
Mark	Sinaiticus	01:23	w)yt hw) bh bknw$thwn gbr) d)yt hwt bh rwx) Tnpt) wq() hw)	
Mark	Sinaiticus	01:25	wk)) bh y$w( w)mr lh skwr pwmk wpwq mnh	
Mark	Sinaiticus	01:26	w$dth rwx) hy Tnpt) wkd q(t bql) rb) npqt mnh	
Mark	Sinaiticus	01:27	wtmh) )xyd hw) lklhwn w)mr:yn hww xd lxd mn) hw hn) ywlpn) xdt) d)yt lh $wlTn) wpqd lr:wx) Tnpt) wm$tm(n lh,	
Mark	Sinaiticus	01:28	wnpq hw) Tbh bkwlh kwr dglyl), wsgy)) )zlyn hww btrh,	
Mark	Sinaiticus	01:29	wnpq mn knw$t) w)tw lbyth d$m(wn k)p) wd)dryws wy(qwb wywxnn (mh hww	
Mark	Sinaiticus	01:31	wqrb w)xdh w)qymh, wbh b$(t) $bqth )$t) wqmt wm$m$) hwt lhwn	
Mark	Sinaiticus	01:33	wmdynt) klh kny$) hwt (l tr(h	
Mark	Sinaiticus	01:36	wb(yn hww lh $m(wn whnwn d(mh,	
Mark	Sinaiticus	01:37	wkd )$kxwhy )mryn lh )n$) sgy:)) b(yn hww lk,	
Mark	Sinaiticus	01:38	)mr lhwn hlkw n)zl lqwr:y) wlmdynt) dqrybn, w)p tmn )krz, lhd) hw gyr )tyt,	
Mark	Sinaiticus	01:39	wmkrz hw) bkwlhyn knw$t) dglyl) wmpq hw) $):d)	
Mark	Sinaiticus	01:40	w)t) lwth, grb) xd wb() hw) mnh wnpl (l r:glwhy w)mr lh d)n cb) )nt m$kx )nt lmdkywtny	
