book	witness	ref	cal_text	syriac_text
Matthew	Curetonian	00:00	)wnglywn dm:pr$)	ܐܘܢܓܠܝܘܢ ܕܡ̈ܦܪܫܐ
Matthew	Curetonian	00:01	mty	
Matthew	Curetonian	01:01	ktb) dt:wldth dy$w( m$yx), brh ddwyd brh d)brhm,	ܟܬܒܐ ܕܬ̈ܘܠܕܬܗ ܕܝܫܘܥ ܡܫܝܚܐ܂ ܒܪܗ ܕܕܘܝܕ ܒܪܗ ܕܐܒܪܗܡ܂
Matthew	Curetonian	01:02	)brhm )wld l)ysxq, )ysxq )wld ly(qwb, y(qwb )wld lyhwd) wl):xwhy,	ܘܟܕ ܐܬܝܠܕ ܝܫܘܥ ܒܝܬ ܠܚܡ ܕܝܗܘܕܐ܂ ܒܝ̈ܘܡܝ ܗܪܘܕܣ ܡܠܟܐ܂ ܘܗܐ ܡ̈ܓܘܫܐ ܐܬܘ ܡܢ ܡܕܢܚܐ ܠܐܘܪܫܠܡ܂
Matthew	Curetonian	01:03	yhwd) )wld lprc wlzrx mn tmr, prc )wld lxcrwn, xcrwn )wld l)rm,	ܘܒܗܢܘܢ ܝܘ̈ܡܬܐ܂ ܐܬܐ ܝܘܚܢܢ ܡܥܡܕܢܐ܂ ܘܡܟܪܙ ܗܘܐ ܒܡܕܒܪܐ ܕܝܗܘܕ
Matthew	Curetonian	01:04	)rm )wld l(myndb, (myndb )wld lnx$wn, nx$wn )wld l$l),	ܗܝܕܝܢ ܝܫܘܥ ܐܬܕܒܪ ܡܢ ܪܘܚܐ ܕܩܘܕܫܐ ܠܡܕܒܪܐ܂ ܕܢܬܢܣܐ ܡܢ ܣܛܢܐ܂
Matthew	Curetonian	01:05	$l) )wld lb(z mn rxb, b(z )wld l(wbr mn )r(wt, (wbr )wld l)y$y,	ܟܕ ܚܙܐ ܕܝܢ ܠܟ̈ܢܫܐ܂ ܣܠܩ ܝܬܒ ܠܗ ܒܛܘܪܐ܂ ܘܩܪܒܘ ܠܘܬܗ ܬܠܡ̈ܝܕܘܗܝ܂
Matthew	Curetonian	01:06	)y$y )wld ldwyd mlk), dwyd )wld l$lymwn mn )ntth d)wry),	ܐܙܕܗܪܘ ܕܠܐ ܬܥܒܕܘܢ ܡܘܗܒܬܟܘܢ ܠܥܝܢ ܒ̈ܢܝ ܐ̈ܢܫܐ܂ ܐܝܟܢܐ ܕܬܬܚܙܘܢ ܠܗܘܢ܂ ܕܠܐ ܐܓܪܐ ܠܝܬ ܠܟܘܢ ܠܘܬ ܐܒܘܟܘܢ ܕܒܫܡܝܐ܂
Matthew	Curetonian	01:07	$lymwn )wld lrxb(m, rxb(m )wld l)by), )by) )wld l)s),	ܠܐ ܬܕܘܢܘܢ ܕܠܐ ܬܬܕܝܢܘܢ܂
Matthew	Curetonian	01:08	)s) )wld lyhw$pT, yhw$pT )wld lyhwrm, yhwrm )wld l)xzy), )xzy) )wld lyw)$, yw)$ )wld l)mwcy), )mwcy) )wld l(wzy),	ܘܟܕ ܢܚܬ ܡܢ ܛܘܿܪܐ܂ ܐܬܝܢ ܗܘܘ ܒܬܪܗ ܟܢ̈ܫܐ ܣܓ̈ܝܐܐ
Matthew	Curetonian	01:09	(wzy) )wld lywtm, ywtm )wld l)xz, )xz )wld lxzqy),	
Matthew	Curetonian	01:10	xzqy) )wld lmn$), mn$) )wld l)mwn, )mwn )wld lyw$y),	
Matthew	Curetonian	01:11	yw$y) )wld lywkny) wl)x:why bglwt) dbbl,	ܘܗܘܐ ܟܕ ܫܠܡ ܝܫܘܥ ܠܡܦܩܕܘ ܠܬܪ̈ܥܣܪ ܬܠܡܝ̈ܕܘܗܝ ܫܢܝ ܠܗ ܡܢ ܬܡܢ܂ ܠܡܠܦܘ ܘܠܡܟܪܙܘ ܒܡ̈ܕܝܢܬܗܘܢ܀
Matthew	Curetonian	01:13	zwrbbl )wld l)bywr, )bywr )wld l)lyqym, )lyqym )wld l(zwr,	ܘܒܗܘ ܝܘܡܐ ܢܦܩ ܝܫܘܥ ܡܢ ܒܝܬܐ܂ ܘܝܬܒ ܠܗ ܥܠ ܓܢܒ ܝܡܬܐ܂
Matthew	Curetonian	01:14	(zwr )wld lcdwq, cdwq )wld l)kyn, )kyn )wld l)lywr,	ܒܗܘ ܕܝܢ ܙܒܢܐ ܫܡܥ ܗܪܘܕܣ ܛܝܛܪܟܐ ܫܡܥܗ ܕܝܫܘܥ܂
Matthew	Curetonian	01:15	)lywr )wld l)ly(zr, )ly(zr )wld lmtn, mtn )wld ly(qwb,	ܗܝܕܝܢ ܩܪܒܘ ܠܘܬܗ ܕܝܫܘܥ ܣ̈ܦܪܐ ܘܦܪ̈ܝܫܐ ܕܡܢ ܐܘܪܫܠܡ ܘܐܡܪܝܢ ܠܗ܂
Matthew	Curetonian	01:21	t)ld lk dyn br), wntqr) $mh y$w(, hw gyr nxywhy l(lm) mn x:Thwhy,	ܘܟܕ ܩܪܒ ܠܐܘܪܫܠܡ܂ ܘܐܬܐ ܠܒܝܬ ܦܓ̈ܐ܂ ܥܠ ܓܢܒ ܛܘܪܐ ܕܒܝܬ ܙܝ̈ܬܐ܂ ܗܝܕܝܢ ܫܕܪ ܝܫܘܥ ܬܪ̈ܝܢ ܡܢ ܬܠܡ̈ܝܕܘܗܝ
Matthew	Curetonian	01:22	hd) dyn dhwt, dntml) mdm d)t)mr mn mry) bpwm )$(y) nby) d)mr hw),	ܬܘܒ ܥܢܐ ܝܫܘܥ ܘܐܡܪ ܠܗܘܢ ܒ̈ܦܠܐܬܐ܂
Matthew	Curetonian	02:01	wkd )tyld y$w( byt lxm dyhwd), by:wmy hrwds mlk), wh) m:gw$) )tw mn mdnx) l)wr$lm,	ܐܒܪܗܡ ܐܘܠܕ ܠܐܝܣܚܩ܂ ܐܝܣܚܩ ܐܘܠܕ ܠܝܥܩܘܒ܂ ܝܥܩܘܒ ܐܘܠܕ ܠܝܗܘܕܐ ܘܠܐ̈ܚܘܗܝ܂
Matthew	Curetonian	02:04	wkn$ lklhwn r:by kh:n) ws:pr) d(m) w)mr lhwn, )yk) mtyld m$yx),	ܘܡܢ ܒܬܪ ܐܪ̈ܒܥܝܢ ܝܘ̈ܡܝܢ ܕܨܐܡ ܗܘܐ ܟܦܢ܂
Matthew	Curetonian	02:06	)p )nty byt lxm dyhwd), l) hwyty bcyr) mn mlkwt) dyhwd), mnky gyr npwq mlk) dhw nr(ywhy l(my )ysryl,	ܐܡܬܝ ܗܟܝܠ ܕܥܒܕ ܐܢܬ ܙܕܩܬܐ܂ ܠܐ ܬܩܪܐ ܩܪܢܐ ܩܕܡܝܟ܂ ܐܝܟܢܐ ܕܥܒܕܝܢ ܢܣ̈ܒܝ ܒܐ̈ܦܐ ܒ̈ܟܢܘܫܬܐ ܘܒܫ̈ܘܩܐ܂ ܐܝܟܢܐ ܕܢܫܬܒܚܘܢ ܡܢ ܒ̈ܢܝ ܐܢܫܐ܂ ܐܡܝܢ ܐܡܪܢܐ ܠܟܘܢ ܕܩܒܠܘ ܐܓܪܗܘܢ܂
Matthew	Curetonian	02:10	hnwn dyn kd xzwwhy lkwkb) xdwt) rbt) xdyw,	
