book	witness	ref	cal_text	syriac_text
Matthew	Sinaiticus	01:01	ktb) dtw:ldt) dy$w( m$yx) brh ddwyd brh d)brhm	ܟܬܒܐ ܕܬܘ̈ܠܕܬܐ ܕܝܫܘܥ ܡܫܝܚܐ ܒܪܗ ܕܕܘܝܕ ܒܪܗ ܕܐܒܪܗܡ
Matthew	Sinaiticus	01:02	)brhm )wld l)ysxq )ysxq )wld ly(qwb, y(qwb )wld lyhwd) w)x:why	ܘܟܕ ܐܬܝܠܕ ܝܫܘܥ ܒܝܬ ܠܚܡ ܕܝܗܘܕܐ ܒܝܘܡܝ ܗܪܘܕܣ ܡܠܟܐ ܘܗܐ ܡܓܘܫܐ ܐܬܘ ܡܢ ܡܕܢܚܐ ܠܐܘܪܫܠܡ
Matthew	Sinaiticus	01:03	yhwd) )wld lprc wlzrx mn tmr prc )wld lxcrwn xcrwn )wld l)rm	ܒܗܢܘܢ ܝܘܡܬܐ ܐܬܐ ܝܘܚܢܢ ܡܥܡܕܢܐ ܘܡܟܪܙ ܗܘܐ ܒܡܕܒܪܐ ܕܝܗܘܕܐ܂
Matthew	Sinaiticus	01:04	)rm )wld l(myndb (myndb )wld lnx$wn nx$wn )wld l$l)	ܗܝܕܝܢ ܝܫܘܥ ܐܬܕܒܪ ܡܢ ܪܘܚܐ ܠܡܕܒܪܐ ܕܢܬܢܣܐ ܡܢ ܐܟܠ ܩܪܨܐ܂
Matthew	Sinaiticus	01:05	$l) )wld lb(z mn rxb b(z )wld l(bd mn r(wt (wbd )wld l)y$y	ܟܕ ܚܙܐ ܠܟܢܫܐ ܣܓܝ̈ܐܐ ܣܠܩ ܠܗ ܠܛܘܪܐ ܘܟܕ ܝܬܒ ܩܪܒܘ ܠܘܬܗ ܬܠܡ̈ܝܕܘܗܝ
Matthew	Sinaiticus	01:06	)y$y )wld ldwyd mlk) dwyd )wld l$lmwn mn )ntth d)wry)	ܘܠܐ ܬܥܒܕܘܢ ܙܕܝܩܘܬܟܘܢ ܠܥܝܢ ܒ̈ܢܝ ܐܢܫܐ ܐܝܟ ܕܬܬܚܙܘܢ ܠܗܘܢ ܕܠܐ ܐܓܪܐ ܠܝܬ ܠܟܘܢ ܠܘܬ ܐܒܘܟܘܢ ܕܒܫܡܝܐ
Matthew	Sinaiticus	01:07	$lmwn )wld lrxb(m rxb(m )wld l)by) )by) )wld l)s),	
Matthew	Sinaiticus	01:08	)s) )wld lyw$pT yw$pT )wld lywrm ywrm )wld l(wzy)	
Matthew	Sinaiticus	01:09	(wzy) )wld lywtm, ywtm )wld l)xz )xz )wld lxzqy),	ܘܥܠ ܠܣܦܝܢܬܐ ܘܥܒܪ ܐܬܐ ܠܡܕܝܢܬܗ
Matthew	Sinaiticus	01:10	xzqy) )wld lmn$) mn$) )wld l)mwn )mwn )wld lyw$y)	ܘܩܪܐ ܠܬܪܥܣܪܬܗ ܘܝܗܒ ܠܗܘܢ ܫܘܠܛܢܐ ܠܡܦܩܘ ܪ̈ܘܚܐ ܛܢܦ̈ܬܐ ܘܠܡܐܣܝܘ ܟܘܠ ܟܐܒ ܘܟܪܗܢ܂
Matthew	Sinaiticus	01:11	yw$y) )wld lywkny) wl)xw:hy bglwt) dbbl%	ܘܗܘܐ ܕܟܕ ܫܠܡ ܡܪܢ ܠܡܦܩܕܘ ܠܬܪ̈ܥܣܪ ܬܠܡܝܕܘܗܝ ܫܢܝ ܠܗ ܡܢ ܬܡܢ ܠܡܠܦܘ ܘܠܡܟܪܙܘ ܒܡܕܝܢܬܗܘܢ
Matthew	Sinaiticus	01:12	mn btr glwt) dyn dbbl ywkny) )wld l$)lt)yl $)lt)yl )wld lzwrbbl	ܒܗܘ ܙܒܢܐ ܡܗܠܟ ܗܘܐ ܝܫܘܥ ܒܝܘܡܐ ܕܫܒܬܐ ܒܝܬ ܙܪܥܐ ܘܟܦܢܘ ܬܠܡܝܕܘܗܝ ܘܫܪܝܘ ܡܠܓܝܢ ܫܒܠܐ ܘܐܟܠܝܢ
Matthew	Sinaiticus	01:13	zwrbbl )wld l)bywr )bywr )wld l)lyqym )lyqym )wld l(zwr,	ܒܗܘ ܝܘܡܐ ܢܦܩ ܗܘܐ ܝܫܘܥ ܝܬܒ ܥܠ ܝܕ ܝܡܐ
