chapter	gospel	reference
1	John	1, 1-11
1	?Mare	u, 12
1	John	1, 1-5
1	Luke	rw, 14-22"
1	?Lue	v, 27-36"
1	Luke	1, 5-80
1	Matt	ww, 17
1	?Mare	u, 21-22
1	?Mare	1,°15
1	Luke	v, 38>-39
2	Matt	1, 18-22
2	Matt	xu, as
2	Matt	1, 18-25"
2	Luke	v, 1-7
2	?Mare	u, 24°-27
2	Luke	u, 1-39
3	Luke	v, 8-11
3	Luke	vi, 6-9
3	Matt	u, 1°-23
3	John	wm, 22-1v, 1-3"
3	Mark	m1, 4-5
3	Luke	u, 40-m, 1-3
3	Luke	m1, 19-20
3	Matt	xu, 11-12
3	Matt	wm, 1°-3
3	Matt	ww, 12
3	Luke	mt, 4°-6
3	John	tv, 46-54
4	Luke	1, 31-384
4	Mark	m1, 7°-12
4	John	1, 18-28
4	Matt	1x, 9
4	Luke	vi, 18-19
4	Matt	1, 4-10
4	?Mare	1, 29
4	Matt	v, 1%
4	Luke	wm, 10-18
4	Luke	tv, 38°-39
4	Luke	vi, 13%17
4	Matt	m, 13
4	Matt	vin, 16
4	Mark	wm, 14-15
4	Luke	my, 23
4	Luke	1, 40
4	Luke	vi, 20
4	John	1, 29-31
4	Matt	vm, 17
4	Matt	v, 210
4	Matt	my, 14-15
4	?Mare	1, 33
4	Luke	vi, 22%
4	Luke	m, 21
4	Luke	wy, 41
4	Matt	v, 11-14
4	Matt	m, 16
4	Luke	vi, 24-27%
4	Luke	mt, 22
5	?Mare	nu, 8-123, _
5	Luke	vi, 32-36
5	Matt	1, 10
5	Luke	v, 25
5	Matt	v, 47-v1, 1*8
5	Luke	w, 13
5	Matt	1x, 8%
5	Luke	xt, 1-24
5	Matt	1, 11
5	?Lue	v, 26
5	Matt	vi, 9-18
5	John	1, 35-51
5	Matt	1x, 8
5	Luke	xu, 32-33', ‘ — 102 —
5	Matt	vi, 19-23
5	?Mare	v, 3t-4'
5	Luke	xn, 5
5	Luke	xt, 35-36
5	Luke	vm, 29
5	Matt	x, 29-33
5	?Mare	v, 4>-5
5	Luke	xu, 51-53
6	?Nath	xu, 5-8, arc, IW, 21
7	Matt	v, 13-16
7	Matt	m, 17
7	?Mare	1, 35-38
7	?Mare	1, 22-23
7	John	1, 32-34
7	Luke	1v, 42°-43
7	Matt	v, 17-254
7	?Lue	rw, 1
7	Matt	wx, 35
7	Luke	xu, 58%
7	?Mare	1, 12-13
7	Mark	1. 39
7	Matt	v, 25%=32
7	Matt	1, 2%
7	Luke	tv, 14°-15
7	Luke	1, 2
7	?Mare	uw, 14
8	John	1, 7-17
8	Luke	1, 44
8	Matt	xu, 14-21
8	Matt	1, 13-16
8	Luke	vi, 12-134
9	Matt	1, 2°-9
9	Matt	wy, 24
9	Matt	v, 33-42
9	Luke	rw, 5-9
9	Mark	un, 1-2
9	Luke	vi, 30-31
9	Luke	v, 17°-21
9	Matt	v, 43-46%
10	Matt	vm, 28
10	Matt	x, 36-42
10	Matt	vi, 24-27
10	?Mare	v, 5%=7
10	Mark	1x, 40
10	Luke	xu, 26
10	Luke	vi, 28
10	Matt	x1, 1
10	Matt	vi, 28°-31
10	?Mare	v, 7
10	Luke	x, 38-42
10	Luke	xu, 29
10	Luke	vin, 29*, 30-337
10	?Mare	vi, 12-13
10	Matt	v1, 32a-vu, 1
10	?Mare	v, 13%
10	Luke	vu, 18
10	Luke	vi, 37'-38
10	Luke	vm, 34-36
10	Matt	x1, 2
10	?Mare	w, 24>-25
10	?Mare	v, 16
10	Luke	vu, 19-27. and oe
11	?Mare	v, 33°. ?
11	Luke	x1, 16
11	Matt	vu, 28-vm, 1, 5%
11	Luke	vin, 47°-48
11	Matt	xn, 25-26"
11	Luke	vu, 2-3
11	?Mare	v, 34
11	?Mare	m1, 26
11	Matt	vm, 5>-6
11	Luke	vim, 49-50
11	Matt	xu, 26
11	Luke	vn, 4-5
11	?Mare	v, 37-39
11	Luke	x1, 18
11	Matt	vm, 7-8
11	Luke	vin, 53
11	Matt	xu, 27-29
11	Luke	va, 8-9'
11	?Mare	v, 40%=41
11	Luke	x1, 21-23
11	Matt	vm, 10°-13
11	Luke	vm, 55%
11	?Mare	11, 28-30
11	Luke	vu, 10-17
11	?Mare	v, 42
11	Matt	xu, 32-34
11	Matt	vm, 18
11	Luke	vm, 55*-56
11	?Lue	vi, 454
11	Luke	mx, 57
11	Matt	wx, 2€-33, 35-x, 1%
11	Matt	xu, 36-37
11	Matt	vin, 19-20
11	Luke	rx, 1-2
11	Luke	xu, 54-55
11	Luke	x, 59-62
11	Matt	x, 5*-10%
11	Matt	xvi, 2-49; xu, 23°23
11	?Mare	w, 353
11	?Mare	vi, 8
11	?Mare	vi, 30-31
11	Luke	vin, 22
11	Luke	m, 3
11	Luke	vu, 36-39
11	Mark	w, 367
11	Matt	x, 10
11	Luke	vin, 22%
11	?Mare	v1, 9
13	Luke	x, 16-22
13	Luke	vm, 24
13	Matt	x, 1€-27
13	Matt	x1, 28-30
13	?Mare	1v, 39-407
13	Luke	xu, 3-49
13	Luke	xtv, 25-33
13	Luke	vir, 25-278
13	Matt	x, 18
13	?Mare	v, 2
13	Luke	xu, 54
14	Luke	x1, 5-7, 8-13
14	Luke	vm, 37
14	Matt	xa, 11
14	Matt	vn, 12-16%
14	Matt	1x, 1
14	Luke	vu, 29-30
14	Luke	vi, 44
14	Luke	vit, 38-39
