section	verse	gospel_refs	text
I	1	John i. 1	In the beginning was the Word, and the Word was with God, and God is the
I	2,3	John i. 2; John i. 3	Word. This was in the beginning with God. Everything was by his hand, and
I	4	John i. 4	without him not even one existing thing was made. In him was life, and the life
I	5	John i. 5	is the light of men. And the light shineth in the darkness, and the darkness apprehended it not.
I	6	Luke i. 5	There was in the days of Herod the king a priest whose name was Zacharias, of the family of Abijah; and his wife was of the daughters of Aaron, and her name
I	7	Luke i. 6	was Elizabeth. And they were both righteous before God, walking in all his commands,
I	8	Luke i. 7	and in the uprightness of God without reproach. And they had no son, for
I	9	Luke i. 8	Elizabeth was barren, and they had both advanced in age. And while he discharged
I	10	Luke i. 9	the duties of priest in the order of his service before God, according to the custom of the priesthood it was his turn to burn incense; so he entered the
I	11	Luke i. 10	temple of the Lord. And the whole gathering of the people were praying without at the
I	12	Luke i. 11	time of the incense. And there appeared unto Zacharias the angel of the Lord, standing
I	13	Luke i. 12	at the right of the altar of incense; and Zacharias was troubled when he saw him,
I	14	Luke i. 13	and fear fell upon him. But the angel said unto him, Be not agitated, Zacharias, for thy prayer is heard, and thy wife Elizabeth shall bear thee a son, and thou shalt
I	15	Luke i. 14	call his name John; and thou shalt have joy and gladness, and many shall rejoice
I	16	Luke i. 15	at his birth. And he shall be great before the Lord, and shall not drink wine nor strong drink, and he shall be filled with the Holy Spirit while he is in his mother’s
I	17	Luke i. 16	womb. And he shall turn back many of the children of Israel to the Lord their
I	18	Luke i. 17	God. And he shall go before him in the spirit, and in the power of Elijah the prophet, to turn back the heart of the fathers to the sons, and those that obey not to the knowledge of the righteous; and to prepare for the Lord a perfect people.
I	19	Luke i. 18	And Zacharias said unto the angel, How shall I know this, since I am an old man
I	20	Luke i. 19	and my wife is advanced in years? And the angel answered and said unto him, I am Gabriel, that standeth before God; and I was sent to speak unto thee, and give
I	21	Luke i. 20	thee tidings of this. Henceforth thou shalt be speechless, and shalt not be able to speak until the day in which this shall come to pass, because thou didst not trust
I	22	Luke i. 21	this my word, which shall be accomplished in its time. And the people were standing awaiting Zacharias, and they were perplexed at his delaying in the temple.
I	23	Luke i. 22	And when Zacharias went out, he was not able to speak unto them: so they knew that he had seen in the temple a vision; and he made signs unto them, and
I	24	Luke i. 23	continued dumb. And when the days of his service were completed, he departed to his dwelling.
I	25	Luke i. 24	And after those days Elizabeth his wife conceived; and she hid herself five
I	26	Luke i. 25	months, and said, This hath the Lord done unto me in the days when he looked upon me, to remove my reproach from among men.
I	27	Luke i. 26	And in the sixth month Gabriel the angel was sent from God to Galilee to a
I	28	Luke i. 27	city called Nazareth, to a virgin given in marriage to a man named Joseph, of the
I	29	Luke i. 28	house of David; and the virgin’s name was Mary. And the angel entered unto her and said unto her, Peace be unto thee, thou who art filled with grace. Our Lord
I	30	Luke i. 29	is with thee, thou blessed amongst women. And she, when she beheld, was agitated
I	31	Luke i. 30	at his word, and pondered what this salutation could be. And the angel said unto
I	32	Luke i. 31	her, Fear not, Mary, for thou hast found favour with God. Thou shalt now conceive,
I	33	Luke i. 32	and bear a son, and call his name Jesus. This shall be great, and shall be called the Son of the Most High; and the Lord God will give him the throne of
I	34	Luke i. 33	David his father: and he shall rule over the house of Jacob for ever; and to his
I	35	Luke i. 34	kingdom there shall be no end. Mary said unto the angel, How shall this be to
I	36	Luke i. 35	me when no man hath known me? The angel answered and said unto her, The Holy Spirit will come, and the power of the Most High shall rest upon thee, and therefore shall he that is born of thee be pure, and shall be called the Son
I	37	Luke i. 36	of God. And lo, Elizabeth thy kinswoman, she also hath conceived a son in her old
I	38	Luke i. 37	age; and this is the sixth month with her, her that is called barren. For nothing is
I	39	Luke i. 38	difficult for God. Mary said, Lo, I am the handmaid of the Lord; let it be unto me according unto thy word. And the angel departed from her.
I	40	Luke i. 39	And then Mary arose in those days and went in haste into the hill country, to a
I	41	Luke i. 40	city of Judah; and entered into the house of Zacharias, and asked for the health of
I	42	Luke i. 41	Elizabeth. And when Elizabeth heard the salutation of Mary, the babe leaped in
I	43	Luke i. 42	her womb. And Elizabeth was filled with the Holy Spirit; and cried with a loud voice and said unto Mary, Blessed art thou amongst women, and blessed is the
I	44	Luke i. 43	fruit that is in thy womb. Whence have I this privilege, that the mother of my
I	45	Luke i. 44	Lord should come unto me? When the sound of thy salutation reached my ears,
I	46	Luke i. 45	with great joy rejoiced the babe in my womb. And blessed is she who believed
I	47	Luke i. 46	that what was spoken to her from the Lord would be fulfilled. And Mary said, My soul doth magnify the Lord,
I	48	Luke i. 47	And my spirit hath rejoiced in God my Saviour,
I	49	Luke i. 48	Who hath looked upon the low estate of his handmaiden: Lo, henceforth, all generations shall pronounce blessing on me.
I	50	Luke i. 49	For he hath done great things for me, who is mighty, And holy is his name.
I	51	Luke i. 50	And his mercy embraceth them who fear him, Throughout the ages and the times.
I	52	Luke i. 51	He wrought the victory with his arm, And scattered them that prided themselves in their opinions.
I	53	Luke i. 52	He overthrew them that acted haughtily from their thrones, And raised the lowly.
I	54	Luke i. 53	He satisfied with good things the hungry, And left the rich without anything.
I	55	Luke i. 54	He helped Israel his servant, And remembered his mercy
I	56	Luke i. 55	(According as he spake with our fathers) Unto Abraham and unto his seed for ever.
I	57	Luke i. 56	And Mary abode with Elizabeth about three months, and returned unto her house.
I	58, 59	Luke i. 57; Luke i. 58	And Elizabeth’s time of delivery was come; and she brought forth a son. And her neighbours and kinsfolk heard that God had multiplied his mercy towards her;
I	60	Luke i. 59	and they rejoiced with her. And when it was the eighth day, they came to circumcise the child, and called him Zacharias, calling him by the name of his father.
I	61	Luke i. 60	And his mother answered and said unto them, Not so; but he shall be called John.
I	62	Luke i. 61	And they said unto her, There is no man of thy kindred that is called by this name.
I	63, 64	Luke i. 62; Luke i. 63	And they made signs to his father, saying, How dost thou wish to name him? And he asked for a tablet, and wrote and said, His name is John. And every one wondered.
I	65	Luke i. 64	And immediately his mouth was opened, and his tongue, and he spake and
I	66	Luke i. 65	praised God. And fear fell on all their neighbours: and this was spoken of in all
I	67	Luke i. 66	the mountains of Judah. And all who heard pondered in their hearts and said, What shall this child be? And the hand of the Lord was with him.
I	68	Luke i. 67	And Zacharias his father was filled with the Holy Spirit, and prophesied and said,
I	69	Luke i. 68	Blessed is the Lord, the God of Israel, Who hath cared for his people, and wrought for it salvation;
I	70	Luke i. 69	And hath raised for us the horn of salvation In the house of David his servant
I	71	Luke i. 70	(As he spake by the mouth of his holy prophets from eternity),
I	72	Luke i. 71	That he might save us from our enemies, And from the hand of all them that hate us.
I	73	Luke i. 72	And he hath performed his mercy towards our fathers, And remembered his holy covenants,
I	74	Luke i. 73	And the oath which he sware unto Abraham our father,
I	75	Luke i. 74	That he would give us deliverance from the hand of our enemies, And without fear we shall serve before him
I	76	Luke i. 75	All our days with equity and righteousness.
I	77	Luke i. 76	And as for thee, O child, prophet of the Most High shalt thou be called. Thou shalt go forth before the face of the Lord to prepare his way,
I	78	Luke i. 77	To give the knowledge of salvation unto his people, For the forgiveness of their sins,
I	79	Luke i. 78	Through the mercy of the compassion of our God, With which he careth for us, to appear from on high
I	80	Luke i. 79	To give light to them that sit in darkness and under the shadow of death, And to set straight our feet in the way of peace.
I	81	Luke i. 80	And the child grew and became strong in the spirit, and abode in the desert until the time of his appearing unto the children of Israel. Footnotes[edit]
II	1	Matt. i. 18	Now the birth of Jesus the Messiah was on this wise: In the time when his mother was given in marriage to Joseph, before they came together,
II	2	Matt. i. 19	she was found with child of the Holy Spirit. And Joseph her husband was a just man and did not wish to expose her, and he purposed to put her away secretly.
II	3	Matt. i. 20	But when he thought of this, the angel of the Lord appeared unto him in a dream, and said unto him, Joseph, son of David, fear not to take Mary thy wife, for that
II	4	Matt. i. 21	which is begotten in her is of the Holy Spirit. She shall bear a son, and thou shalt
II	5	Matt. i. 22	call his name Jesus, and he shall save his people from their sins. And all this was that the saying from the Lord by the prophet might be fulfilled:
II	6	Matt. i. 23	Behold, the virgin shall conceive, and bear a son, And they shall call his name Immanuel,
II	7	Matt. i. 24	which is, being interpreted, With us is our God. And when Joseph arose from his
II	8	Matt. i. 25	sleep, he did as the angel of the Lord commanded him, and took his wife; and knew her not until she brought forth her firstborn son.
II	9	Luke ii. 1	And in those days there went forth a decree from Augustus Cæsar that all the
II	10	Luke ii. 2	people of his dominion should be enrolled. This first enrolment was while Quirinius
II	11, 12	Luke ii. 3; Luke ii. 4	was governor of Syria. And every man went to be enrolled in his city. And Joseph went up also from Nazareth, a city of Galilee, to Judæa, to the city of David
II	13	Luke ii. 5	which is called Bethlehem (for he was of the house of David and of his tribe), with
II	14	Luke ii. 6	Mary his betrothed, she being with child, to be enrolled there. And while
II	15	Luke ii. 7	she was there the days for her being delivered were accomplished. And she brought forth her firstborn son; and she wrapped him in swaddling cloths and laid him in a manger, because there was no place for them where they were staying.
II	16	Luke ii. 8	And there were in that region shepherds abiding, keeping their flock in the watch
II	17	Luke ii. 9	of the night. And behold, the angel of God came unto them, and the glory of the
II	18	Luke ii. 10	Lord shone upon them; and they were greatly terrified. And the angel said unto them, Be not terrified; for I bring you tidings of great joy which shall be to the
II	19	Luke ii. 11	whole world; there is born to you this day a Saviour, which is the Lord the Messiah,
II	20	Luke ii. 12	in the city of David. And this is a sign for you: ye shall find a babe wrapped
II	21	Luke ii. 13	in swaddling cloths and laid in a manger. And there appeared with the angels suddenly many heavenly forces praising God and saying,
II	22	Luke ii. 14	Praise be to God in the highest, And on the earth peace, and good hope to men.
II	23	Luke ii. 15	And when the angels departed from them to heaven, the shepherds spake to one another and said, We will go to Bethlehem and see this word which hath been, as
II	24	Luke ii. 16	the Lord made known unto us. And they came with haste, and found Mary and
II	25	Luke ii. 17	Joseph, and the babe laid in a manger. And when they saw, they reported the word
II	26	Luke ii. 18	which was spoken to them about the child. And all that heard wondered at the
II	27	Luke ii. 19	description which the shepherds described to them. But Mary kept these sayings
II	28	Luke ii. 20	and discriminated them in her heart. And those shepherds returned, magnifying and praising God for all that they had seen and heard, according as it was described unto them.
II	29	Luke ii. 21	And when eight days were fulfilled that the child should be circumcised, his name was called Jesus, being that by which he was called by the angel before his conception in the womb.
II	30	Luke ii. 22	And when the days of their purification according to the law of Moses were
II	31	Luke ii. 23	completed, they took him up to Jerusalem to present him before the Lord (as it is written in the law of the Lord, Every male opening the womb shall be called the
II	32	Luke ii. 24	holy thing of the Lord), and to give a sacrificial victim as it is said in the law of
II	33	Luke ii. 25	the Lord, A pair of doves or two young pigeons. And there was in Jerusalem a man whose name was Simeon; and this man was upright and pious, and expecting
II	34	Luke ii. 26	the consolation of Israel; and the Holy Spirit was upon him. And it had been said unto him by the Holy Spirit, that he should not see death till he had seen with
II	35	Luke ii. 27	his eyes the Messiah of the Lord. And this man came by the Spirit to the temple; and at the time when his parents brought in the child Jesus, that they might
II	36	Luke ii. 28	present for him a sacrifice, as it is written in the law, he bare him in his arms and praised God and said,
II	37	Luke ii. 29	Now loosest thou the bonds of thy servant, O Lord, in peace, According to thy saying;
II	38	Luke ii. 30	For mine eye hath witnessed thy mercy,
II	39	Luke ii. 31	Which thou hast made ready because of the whole world;
II	40	Luke ii. 32	A light for the unveiling of the nations, And a glory to thy people Israel.
II	41	Luke ii. 33	And Joseph and his mother were marvelling at the things which were being said
II	42	Luke ii. 34	concerning him. And Simeon blessed them and said to Mary his mother, Behold, he is set for the overthrow and rising of many in Israel; and for a sign of contention;
II	43	Luke ii. 35	and a spear shall pierce through thine own soul; that the thoughts of the
II	44	Luke ii. 36	hearts of many may be revealed. And Anna the prophetess, the daughter of Phanuel, of the tribe of Asher, was also advanced in years (and she dwelt
II	45	Luke ii. 37	with her husband seven years from her virginity, and she remained a widow about eighty-four years); and she left not the temple, and served night and day with
II	46	Luke ii. 38	fasting and prayer. And she also rose in that hour and thanked the Lord, and she
II	47	Luke ii. 39	spake of him with every one who was expecting the deliverance of Jerusalem. And when they had accomplished everything according to what is in the law of the Lord, they returned to Galilee, to Nazareth their city. Footnotes[edit]
