book	chapter	verse	greek_text	lemmatized_text
Matthew	1	1	Βίβλος γενέσεως Ἰησοῦ χριστοῦ υἱοῦ Δαυὶδ υἱοῦ Ἀβραάμ.	βίβλος γένεσις Ἰησοῦς Χριστός υἱός Δαυίδ υἱός Ἀβραάμ
Matthew	1	2	Ἀβραὰμ ἐγέννησεν τὸν Ἰσαάκ, Ἰσαὰκ δὲ ἐγέννησεν τὸν Ἰακώβ, Ἰακὼβ δὲ ἐγέννησεν τὸν Ἰούδαν καὶ τοὺς ἀδελφοὺς αὐτοῦ,	Ἀβραάμ γεννάω ὁ Ἰσαάκ Ἰσαάκ δέ γεννάω ὁ Ἰακώβ Ἰακώβ δέ γεννάω ὁ Ἰούδας καί ὁ ἀδελφός αὐτός
Matthew	1	3	Ἰούδας δὲ ἐγέννησεν τὸν Φαρὲς καὶ τὸν Ζάρα ἐκ τῆς Θαμάρ, Φαρὲς δὲ ἐγέννησεν τὸν Ἑσρώμ, Ἑσρὼμ δὲ ἐγέννησεν τὸν Ἀράμ,	Ἰούδας δέ γεννάω ὁ Φαρές καί ὁ Ζάρα ἐκ ὁ Θαμάρ Φαρές δέ γεννάω ὁ Ἑσρώμ Ἑσρώμ δέ γεννάω ὁ Ἀράμ
Matthew	1	4	Ἀρὰμ δὲ ἐγέννησεν τὸν Ἀμιναδάβ, Ἀμιναδὰβ δὲ ἐγέννησεν τὸν Ναασσών, Ναασσὼν δὲ ἐγέννησεν τὸν Σαλμών,	Ἀράμ δέ γεννάω ὁ Ἀμιναδάβ Ἀμιναδάβ δέ γεννάω ὁ Ναασσών Ναασσών δέ γεννάω ὁ Σαλμών
Matthew	1	5	Σαλμὼν δὲ ἐγέννησεν τὸν ⸂Βόες ἐκ τῆς Ῥαχάβ, Βόες⸃ δὲ ἐγέννησεν τὸν ⸂Ἰωβὴδ ἐκ τῆς Ῥούθ, Ἰωβὴδ⸃ δὲ ἐγέννησεν τὸν Ἰεσσαί,	Σαλμών δέ γεννάω ὁ Βόες ἐκ ὁ Ῥαχάβ Βόες δέ γεννάω ὁ Ἰωβήδ ἐκ ὁ Ῥούθ Ἰωβήδ δέ γεννάω ὁ Ἰεσσαί
Matthew	1	6	Ἰεσσαὶ δὲ ἐγέννησεν τὸν Δαυὶδ τὸν βασιλέα. Δαυὶδ ⸀δὲ ἐγέννησεν τὸν Σολομῶνα ἐκ τῆς τοῦ Οὐρίου,	Ἰεσσαί δέ γεννάω ὁ Δαυίδ ὁ βασιλεύς Δαυίδ δέ γεννάω ὁ Σολομών ἐκ ὁ ὁ Οὐρίας
Matthew	1	7	Σολομὼν δὲ ἐγέννησεν τὸν Ῥοβοάμ, Ῥοβοὰμ δὲ ἐγέννησεν τὸν Ἀβιά, Ἀβιὰ δὲ ἐγέννησεν τὸν ⸂Ἀσάφ,	Σολομών δέ γεννάω ὁ Ῥοβοάμ Ῥοβοάμ δέ γεννάω ὁ Ἀβιά Ἀβιά δέ γεννάω ὁ Ἀσάφ
Matthew	1	8	Ἀσὰφ⸃ δὲ ἐγέννησεν τὸν Ἰωσαφάτ, Ἰωσαφὰτ δὲ ἐγέννησεν τὸν Ἰωράμ, Ἰωρὰμ δὲ ἐγέννησεν τὸν Ὀζίαν,	Ἀσάφ δέ γεννάω ὁ Ἰωσαφάτ Ἰωσαφάτ δέ γεννάω ὁ Ἰωράμ Ἰωράμ δέ γεννάω ὁ Ὀζίας
Matthew	1	9	Ὀζίας δὲ ἐγέννησεν τὸν Ἰωαθάμ, Ἰωαθὰμ δὲ ἐγέννησεν τὸν Ἀχάζ, Ἀχὰζ δὲ ἐγέννησεν τὸν Ἑζεκίαν,	Ὀζίας δέ γεννάω ὁ Ἰωαθάμ Ἰωαθάμ δέ γεννάω ὁ Ἀχάζ Ἀχάζ δέ γεννάω ὁ Ἑζεκίας
Matthew	1	10	Ἑζεκίας δὲ ἐγέννησεν τὸν Μανασσῆ, Μανασσῆς δὲ ἐγέννησεν τὸν ⸂Ἀμώς, Ἀμὼς⸃ δὲ ἐγέννησεν τὸν Ἰωσίαν,	Ἑζεκίας δέ γεννάω ὁ Μανασσῆς Μανασσῆς δέ γεννάω ὁ Ἀμώς Ἀμώς δέ γεννάω ὁ Ἰωσίας
