book	chapter	verse	syriac_text	transliteration
Matthew	1	1	ܟܬܒܐ ܕܝܠܝܕܘܬܗ ܕܝܫܘܥ ܡܫܝܚܐ ܒܪܗ ܕܕܘܝܕ ܒܪܗ ܕܐܒܪܗܡ	KTB> DJLJDWTH DJCW< MCJX> BRH DDWJD BRH D>BRHM
Matthew	1	2	ܐܒܪܗܡ ܐܘܠܕ ܠܐܝܣܚܩ ܐܝܣܚܩ ܐܘܠܕ ܠܝܥܩܘܒ ܝܥܩܘܒ ܐܘܠܕ ܠܝܗܘܕܐ ܘܠܐܚܘܗܝ	>BRHM >WLD L>JSXQ >JSXQ >WLD LJ<QWB J<QWB >WLD LJHWD> WL>XWHJ
Matthew	1	3	ܝܗܘܕܐ ܐܘܠܕ ܠܦܪܨ ܘܠܙܪܚ ܡܢ ܬܡܪ ܦܪܨ ܐܘܠܕ ܠܚܨܪܘܢ ܚܨܪܘܢ ܐܘܠܕ ܠܐܪܡ	JHWD> >WLD LPRY WLZRX MN TMR PRY >WLD LXYRWN XYRWN >WLD L>RM
Matthew	1	4	ܐܪܡ ܐܘܠܕ ܠܥܡܝܢܕܒ ܥܡܝܢܕܒ ܐܘܠܕ ܠܢܚܫܘܢ ܢܚܫܘܢ ܐܘܠܕ ܠܣܠܡܘܢ	>RM >WLD L<MJNDB <MJNDB >WLD LNXCWN NXCWN >WLD LSLMWN
Matthew	1	5	ܣܠܡܘܢ ܐܘܠܕ ܠܒܥܙ ܡܢ ܪܚܒ ܒܥܙ ܐܘܠܕ ܠܥܘܒܝܕ ܡܢ ܪܥܘܬ ܥܘܒܝܕ ܐܘܠܕ ܠܐܝܫܝ	SLMWN >WLD LB<Z MN RXB B<Z >WLD L<WBJD MN R<WT <WBJD >WLD L>JCJ
Matthew	1	6	ܐܝܫܝ ܐܘܠܕ ܠܕܘܝܕ ܡܠܟܐ ܕܘܝܕ ܐܘܠܕ ܠܫܠܝܡܘܢ ܡܢ ܐܢܬܬܗ ܕܐܘܪܝܐ	>JCJ >WLD LDWJD MLK> DWJD >WLD LCLJMWN MN >NTTH D>WRJ>
Matthew	1	7	ܫܠܝܡܘܢ ܐܘܠܕ ܠܪܚܒܥܡ ܪܚܒܥܡ ܐܘܠܕ ܠܐܒܝܐ ܐܒܝܐ ܐܘܠܕ ܠܐܣܐ	CLJMWN >WLD LRXB<M RXB<M >WLD L>BJ> >BJ> >WLD L>S>
Matthew	1	8	ܐܣܐ ܐܘܠܕ ܠܝܗܘܫܦܛ ܝܗܘܫܦܛ ܐܘܠܕ ܠܝܘܪܡ ܝܘܪܡ ܐܘܠܕ ܠܥܘܙܝܐ	>S> >WLD LJHWCPV JHWCPV >WLD LJWRM JWRM >WLD L<WZJ>
Matthew	1	9	ܥܘܙܝܐ ܐܘܠܕ ܠܝܘܬܡ ܝܘܬܡ ܐܘܠܕ ܠܐܚܙ ܐܚܙ ܐܘܠܕ ܠܚܙܩܝܐ	<WZJ> >WLD LJWTM JWTM >WLD L>XZ >XZ >WLD LXZQJ>
Matthew	1	10	ܚܙܩܝܐ ܐܘܠܕ ܠܡܢܫܐ ܡܢܫܐ ܐܘܠܕ ܠܐܡܘܢ ܐܡܘܢ ܐܘܠܕ ܠܝܘܫܝܐ	XZQJ> >WLD LMNC> MNC> >WLD L>MWN >MWN >WLD LJWCJ>
Matthew	1	11	ܝܘܫܝܐ ܐܘܠܕ ܠܝܘܟܢܝܐ ܘܠܐܚܘܗܝ ܒܓܠܘܬܐ ܕܒܒܠ	JWCJ> >WLD LJWKNJ> WL>XWHJ BGLWT> DBBL
Matthew	1	12	ܡܢ ܒܬܪ ܓܠܘܬܐ ܕܝܢ ܕܒܒܠ ܝܘܟܢܝܐ ܐܘܠܕ ܠܫܠܬܐܝܠ ܫܠܬܐܝܠ ܐܘܠܕ ܠܙܘܪܒܒܠ	MN BTR GLWT> DJN DBBL JWKNJ> >WLD LCLT>JL CLT>JL >WLD LZWRBBL
Matthew	1	13	ܙܘܪܒܒܠ ܐܘܠܕ ܠܐܒܝܘܕ ܐܒܝܘܕ ܐܘܠܕ ܠܐܠܝܩܝܡ ܐܠܝܩܝܡ ܐܘܠܕ ܠܥܙܘܪ	ZWRBBL >WLD L>BJWD >BJWD >WLD L>LJQJM >LJQJM >WLD L<ZWR
Matthew	1	14	ܥܙܘܪ ܐܘܠܕ ܠܙܕܘܩ ܙܕܘܩ ܐܘܠܕ ܠܐܟܝܢ ܐܟܝܢ ܐܘܠܕ ܠܐܠܝܘܕ	<ZWR >WLD LZDWQ ZDWQ >WLD L>KJN >KJN >WLD L>LJWD
Matthew	1	15	ܐܠܝܘܕ ܐܘܠܕ ܠܐܠܝܥܙܪ ܐܠܝܥܙܪ ܐܘܠܕ ܠܡܬܢ ܡܬܢ ܐܘܠܕ ܠܝܥܩܘܒ	>LJWD >WLD L>LJ<ZR >LJ<ZR >WLD LMTN MTN >WLD LJ<QWB
Matthew	1	16	ܝܥܩܘܒ ܐܘܠܕ ܠܝܘܣܦ ܓܒܪܗ ܕܡܪܝܡ ܕܡܢܗ ܐܬܝܠܕ ܝܫܘܥ ܕܡܬܩܪܐ ܡܫܝܚܐ	J<QWB >WLD LJWSP GBRH DMRJM DMNH >TJLD JCW< DMTQR> MCJX>
Matthew	1	17	ܟܠܗܝܢ ܗܟܝܠ ܫܪܒܬܐ ܡܢ ܐܒܪܗܡ ܥܕܡܐ ܠܕܘܝܕ ܫܪܒܬܐ ܐܪܒܥܣܪܐ ܘܡܢ ܕܘܝܕ ܥܕܡܐ ܠܓܠܘܬܐ ܕܒܒܠ ܫܪܒܬܐ ܐܪܒܥܣܪܐ ܘܡܢ ܓܠܘܬܐ ܕܒܒܠ ܥܕܡܐ ܠܡܫܝܚܐ ܫܪܒܬܐ ܐܪܒܥܣܪܐ	KLHJN HKJL CRBT> MN >BRHM <DM> LDWJD CRBT> >RB<SR> WMN DWJD <DM> LGLWT> DBBL CRBT> >RB<SR> WMN GLWT> DBBL <DM> LMCJX> CRBT> >RB<SR>
Matthew	1	18	ܝܠܕܗ ܕܝܢ ܕܝܫܘܥ ܡܫܝܚܐ ܗܟܢܐ ܗܘܐ ܟܕ ܡܟܝܪܐ ܗܘܬ ܡܪܝܡ ܐܡܗ ܠܝܘܣܦ ܥܕܠܐ ܢܫܬܘܬܦܘܢ ܐܫܬܟܚܬ ܒܛܢܐ ܡܢ ܪܘܚܐ ܕܩܘܕܫܐ	JLDH DJN DJCW< MCJX> HKN> HW> KD MKJR> HWT MRJM >MH LJWSP <DL> NCTWTPWN >CTKXT BVN> MN RWX> DQWDC>
Matthew	1	19	ܝܘܣܦ ܕܝܢ ܒܥܠܗ ܟܐܢܐ ܗܘܐ ܘܠܐ ܨܒܐ ܕܢܦܪܣܝܗ ܘܐܬܪܥܝ ܗܘܐ ܕܡܛܫܝܐܝܬ ܢܫܪܝܗ	JWSP DJN B<LH K>N> HW> WL> YB> DNPRSJH W>TR<J HW> DMVCJ>JT NCRJH
Matthew	1	20	ܟܕ ܗܠܝܢ ܕܝܢ ܐܬܪܥܝ ܐܬܚܙܝ ܠܗ ܡܠܐܟܐ ܕܡܪܝܐ ܒܚܠܡܐ ܘܐܡܪ ܠܗ ܝܘܣܦ ܒܪܗ ܕܕܘܝܕ ܠܐ ܬܕܚܠ ܠܡܣܒ ܠܡܪܝܡ ܐܢܬܬܟ ܗܘ ܓܝܪ ܕܐܬܝܠܕ ܒܗ ܡܢ ܪܘܚܐ ܗܘ ܕܩܘܕܫܐ	KD HLJN DJN >TR<J >TXZJ LH ML>K> DMRJ> BXLM> W>MR LH JWSP BRH DDWJD L> TDXL LMSB LMRJM >NTTK HW GJR D>TJLD BH MN RWX> HW DQWDC>
Matthew	1	21	ܬܐܠܕ ܕܝܢ ܒܪܐ ܘܬܩܪܐ ܫܡܗ ܝܫܘܥ ܗܘ ܓܝܪ ܢܚܝܘܗܝ ܠܥܡܗ ܡܢ ܚܛܗܝܗܘܢ	T>LD DJN BR> WTQR> CMH JCW< HW GJR NXJWHJ L<MH MN XVHJHWN
Matthew	1	22	ܗܕܐ ܕܝܢ ܟܠܗ ܕܗܘܬ ܕܢܬܡܠܐ ܡܕܡ ܕܐܬܐܡܪ ܡܢ ܡܪܝܐ ܒܝܕ ܢܒܝܐ	HD> DJN KLH DHWT DNTML> MDM D>T>MR MN MRJ> BJD NBJ>
